nct,n,child,known_growth_drug,n_growth_reported,intervention,condition,first_reported_growth_outcome,title
NCT02732145,328,True,False,1,"""Three Rings Vulvoscopy"" (TRIV), Histopathology","Lichen Sclerosus, Lichen Planus, Lichen Simplex Chronicus, Vulvodynia",Baseline Characteristics: Height,"Diagnostic Accuracy of ""Three Rings Vulvoscopy"" for Detection of Vulvar Dermatosis"
NCT02509936,324,True,False,1,"Home-based nutrition education, Standard-of-care nutrition support","Malnutrition, Developmental Disabilities",Change in Height/Length for Age Z Score,Promoting Physical Growth and Positive Development in Severely Stunted Guatemalan Children
NCT03198078,316,True,False,1,"Brexpiprazole (OPC-34712), Aripiprazole, Placebo",Schizophrenia,Mean Change From Baseline in Height,Trial to Evaluate the Short-term Safety & Efficacy of Brexpiprazole Monotherapy in the Treatment of Adolescent
NCT01078675,315,True,False,1,"rosuvastatin calcium, rosuvastatin calcium, rosuvastatin calcium",Familial Hypercholesterolaemia,Percent Change From Baseline in Height,An Study to Evaluate Rosuvastatin in Children and Adolescents With Familial Hypercholesterolaemia
NCT01328756,314,True,False,1,Lisdexamfetamine dimesylate,Attention Deficit Hyperactivity Disorder (ADHD),Change From Baseline in Height at Last On-treatment Assessment (LOTA),Lisdexamfetamine Dimesylate 2-year Safety Study in Children and Adolescents With Attention-Deficit/Hyperactivi
NCT03568643,301,True,False,1,"Azithromycin, Amoxicillin",Uncomplicated Severe Acute Malnutrition,Length/Height-for-age Z-score (LAZ/HAZ),Azithromycin for Uncomplicated Severe Acute Malnutrition in Burkina Faso (Pilot)
NCT00433836,300,True,False,1,"Valsartan, Enalapril",Hypertension,"Decrease in MSSBP to < 95th Percentile for Age, Gender and Height",Effect of Valsartan Compared to Enalapril on Sitting Systolic Blood Pressure in Children With High Blood Press
NCT03416010,299,False,False,1,COPE-P,"Emotional Disturbances, Depression, Pregnancy Late, Post-Partum Depres",Participant Height,Healthy Lifestyle Intervention for High-Risk Minority Pregnant Women
NCT00449072,299,True,False,1,"Placebo, Placebo, TAA-AQ, Nasacort® AQ, Claritin®","Rhinitis, Allergic, Perennial",Growth Velocity,"Study of Triamcinolone Acetonide on the Growth Velocity of Children, Ages 3 to 9, With Perennial Allergic Rhin"
NCT02147184,287,True,False,1,,The Skeletal Effects of SSRIs,Total Body Less Head Bone Mineral Content (TBLH BMC) Z-score (Adjusted for Age-sex-height-race),Do Serotonin Reuptake Inhibitors (SSRIs) Affect Bone Mass in Adolescents
NCT00667459,280,False,False,1,"PRESTIGE® LP Cervical Disc, ATLANTIS Anterior Cervical Plate",Cervical Degenerative Disc Disease,Rate of Disc Height Success,Study of Safety & Effectiveness of PRESTIGE® LP Cervical Disc vs. Anterior Cervical Fusion in Cervical DDD
NCT00965419,267,True,False,1,Edivoxetine,Attention Deficit Hyperactivity Disorder,Mean Change From Baseline Z-scores for Height,A Study of Pediatric Participants With Attention Deficit/Hyperactivity Disorder
NCT03187834,252,True,False,1,"Azithromycin, Amoxicillin, Cotrimoxazole, Placebo",Child Development,Height-for-age Z-score,"Antibiotic Resistance and Microbiome in Children Aged 6-59 Months in Nouna, Burkina Faso"
NCT02918279,251,True,False,1,"Liraglutide, Placebo","Metabolism and Nutrition Disorder, Obesity",Change in Height SDS,Effect of Liraglutide for Weight Management in Pubertal Adolescent Subjects With Obesity
NCT06016556,250,False,False,1,"nirmatrelvir, ritonavir",Covid-19,Height at Index Date,A Study of COVID-19 Patients Receiving Treatment With Nirmatrelvir; Ritonavir in the Kingdom of Saudi Arabia
NCT01050582,244,True,False,1,"Risperidone, Other atypical antipsychotic drugs","Schizophrenia, Bipolar Disorder, Autistic Disorder, Conduct and Other ",Height (cm) Z-score at Study Visit,A Study to Evaluate the Safety and the Effects of Risperidone Compared With Other Atypical Antipsychotic Drugs
NCT06041217,242,False,False,1,"Semaglutide, Placebo","Overweight, Obesity",Change in Waist-height Ratio (WtHR),A Research Study to See How Well Semaglutide Helps People Who Have a Body Weight Above the Healthy Weight Rang
NCT00509028,241,True,False,1,"Budesonide, Conventional Asthma Therapy",Asthma,Height,Safety and Efficacy Study of Budesonide (Pulmicort®) Turbuhaler® in Japanese Children With Bronchial Asthma
NCT00165698,240,False,False,1,"menatetranone, alfacalcidol",Postmenopausal Osteoporosis,Height (Meter),Efficacy and Safety Study on Menatetrenone in the Treatment of Postmenopausal Osteoporosis Women
NCT00163293,240,True,False,1,"Ciclesonide, Placebo",Asthma,Growth Velocity as Assessed by Stadiometric Height Measurement,Efficacy of Ciclesonide Inhaled Once Daily Versus Other Corticosteroids Used for Treatment of Mild Asthma in C
NCT03382782,234,False,False,1,"BWLI, BWLI & Peer Navigator, Integrated Care","Obesity, Mental Disorder",Height,Peer Navigators to Address Obesity-Related Concerns for African Americans With Serious Mental Illness
NCT04379271,234,False,False,1,"IMU-838, Placebo",COVID-19,Vital Signs: Height,"A Study to Evaluate the Efficacy, Safety and Tolerability of IMU-838 as Addition to Investigator's Choice of S"
NCT00113087,230,True,False,1,"Enalapril, Placebo","Heart Defects, Congenital, Heart Failure, Congestive",Height-for-age Z-score,Trial of Angiotensin Converting Enzyme Inhibition in Infants With Single Ventricle--Pediatric Heart Network
NCT01461044,228,False,False,1,,Breast Cancer,Mean Height at the Time of Local or Metastatic Progression,An Observational Study of Avastin (Bevacizumab) in Patients With HER2-metastatic or Locally Advanced Breast Ca
NCT02249182,226,True,False,1,"LDV/SOF, RBV",Hepatitis C Virus Infection,"For the Treatment Phase, Change From Baseline in Height",Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination +/- Ribavirin in Adolescents and Children 
NCT01500694,215,True,False,1,"Extended-release Guanfacine HCl (Intuniv, SPD503)",Attention Deficit Hyperactivity Disorder (ADHD),Change From Baseline in Mean Height at Final Assessment,Access to Extended Release Guanfacine HCl for Subjects Who Participated in Studies SPD503-315 or SPD503-316 in
NCT04522921,211,True,False,1,"Diet with a higher amount of protein (25E% per day), Increased follow-up contact","Childhood Obesity, Overweight and Obesity, Adolescent Obesity, Adolesc",Body Height (m),Childhood Obesity - Prevention of Diabetes Through Changed Eating Patterns
NCT03846219,210,False,False,1,"IMU-838 (30 mg/day), IMU-838 (45 mg/day), Placebo, IMU-838 (10 mg/day)",Relapsing-Remitting Multiple Sclerosis (RRMS),Vital Signs: Height,MRI Trial to exPlore the efficAcy and Safety of IMU-838 in Relapsing Remitting Multiple Sclerosis (EMPhASIS)
NCT05005845,199,False,False,1,"NFX-179 gel, Vehicle gel","Cutaneous Neurofibroma, Neurofibromatosis 1",Percentage of Participants With At Least 50% of Target Lesions With 50% Reduction in cNF Height Above the Surrounding Non-tumor Skin,NFX-179 Topical Gel Treatment for Adults With Neurofibromatosis 1 (NF1) and Cutaneous Neurofibromas (cNF)
NCT03260205,199,True,False,1,"Placebo, SPD489 (Lisdexamfetamine dimesylate), SPD489",Attention Deficit Hyperactivity Disorder (ADHD),Change From Baseline in Height at Week 6,Safety and Efficacy Study in Preschool Children Aged 4-5 Years With Attention-deficit/Hyperactivity Disorder (
NCT01911260,199,True,False,1,"Zinc amino acid chelate, Placebo",Short Stature,Change in Height-for-Age Z-score (HAZ) From End of Supplementation to End of Follow-up Period.,Weekly Zinc Chelate Supplementation on Children's Growth
NCT01603407,196,True,False,1,"Prednisone, Prednisone, Deflazacort",Duchenne Muscular Dystrophy,Participant Height,Finding the Optimum Regimen for Duchenne Muscular Dystrophy
NCT05367674,192,True,False,1,"Summer Harvest Adventure, My Summer Plate (MSP)",Childhood Obesity,Height,Summer Harvest Adventure: A Garden-based Obesity Prevention Program for Children Residing in Low-resource Comm
NCT00718861,190,False,False,1,"Placebo, Zoledronic acid",Post-menopausal Osteoporosis,"Change in Height at Years 7, 8 and 9 Relative to Year 6",3 yr Efficacy & Safety Study of Zoledronic Acid in Post-menopausal Women With Osteoporosis Treated With Zol Ac
NCT00988221,188,True,False,1,"Tocilizumab, Placebo",Juvenile Idiopathic Arthritis,"Height Standard Deviation Score at Baseline, Week 52, and Week 104",A Study of Tocilizumab in Patients With Active Polyarticular Juvenile Idiopathic Arthritis
NCT02804763,182,False,False,1,"Placebo, Dapirolizumab pegol (DZP)",Systemic Lupus Erythematosus (SLE),Mean Change From Baseline in Height,A Phase 2 Efficacy and Safety Study of Dapirolizumab Pegol (DZP) in Systemic Lupus Erythematosus
NCT03730207,180,False,False,1,"Xpede™ Bone Cement, Mendec Spine Bone Cement",Pathological Fracture of Vertebra Due to Secondary Osteoporosis (Disor,"Change in Vertebral Body Height at 1 Day, 3 Months, and 6 Months",Xpede Clinical Study
NCT02849626,180,True,False,1,Perampanel,Partial-Onset or Primary Generalized Tonic-Clonic Seizures,Change From Baseline in Height (a Growth and Development Parameter) at Week 23 (Core Phase) and at Week 52 (Extension Phase A) of This Study,Perampanel as Adjunctive Therapy in Pediatrics With Partial Onset Seizures or Primary Generalized Tonic Clonic
NCT03032172,174,True,False,1,Risdiplam,Spinal Muscular Atrophy,Anthropometric Examination: Change From Baseline in Height,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy
NCT03281200,172,False,False,1,"L - Antineoplastic and immunomodulating agents, L01 - Antineoplastic agents, L01",Idiopathic Pulmonary Fibrosis,The Demographic Baseline Characteristics - Height at the Start of Nintedanib Therapy,Chart Review Study to Describe the Clinical Profile of Idiopathic Pulmonary Fibrosis (IPF) Patients Treated Wi
NCT03170518,171,True,False,1,"Canagliflozin 100 mg, Canagliflozin 300 mg, Placebo","Diabetes Mellitus, Type 2",Growth Velocity at Weeks 26 and 52,A Study to Investigate the Efficacy and Safety of Canagliflozin in Children and Adolescents (>=10 to <18 Years
NCT02624869,163,True,False,1,Evolocumab,Familial Hypercholesterolemia,"Change From Baseline in Height at Weeks 24, 48, and 80","Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipo"
NCT03854461,162,False,False,1,"Personalised dietary advice and educational material, Educational material",Cardiovascular Diseases,Anthropometric Data - Height,The Efficacy of Individualized Dietary Advice in Improving Diet Quality and Cardiovascular Health
NCT00386360,161,False,False,1,"Placebo comparator, risedronate",Osteopenia,"Height, Percent Change From Baseline to Month 12",Study of the Effect of Once a Week Risedronate on the Microstructure of Tibia and Radius Using a New Scanning 
NCT03350217,160,False,False,1,"Eleview, Hetastarch","Procedural Bleeding, Delayed Bleeding, Post-Polypectomy Syndrome, Post",Mound Concentration Height,A Comparison of Eleview Versus Hetastarch as Injectate for EMR
NCT03204786,157,True,False,1,"Vasopressin (USP) Injectable Solution [Vasostrict], Placebo","Autism, Autism Spectrum Disorder, ASD",Change From Baseline on Height During Treatment.,Intranasal Vasopressin Treatment in Children With Autism
NCT03635073,156,True,False,1,Soticlestat,"Epilepsy, Dravet Syndrome (DS), Lennox-Gastaut Syndrome (LGS)",Number of Participants With Potentially Clinically Significant Weight and Height,A Study of Soticlestat in Adults and Children With Rare Epilepsies
NCT05353985,153,True,False,1,"TAK-062, Simulated Inadvertent Gluten Exposure (SIGE) Gluten-Bar, TAK-062 Placeb",Celiac Disease,Change in Villous Height to Crypt Depth Ratio (Vh:Cd) From Baseline to Week 24,A Study of TAK-062 in Treatment of Active Celiac Disease in Participants Attempting a Gluten-Free Diet
NCT02352753,153,True,False,1,Denosumab,Osteogenesis Imperfecta,Change From Baseline in Growth Velocity at 12 Months,"Multicenter,Single-arm Study to Evaluate Efficacy, Safety, & Pharmacokinetics of Denosumab in Children w/ OI"
NCT01234649,153,False,False,1,"Metformin XR plus placebo, Metformin XR plus liraglutide","Gestational Diabetes Mellitus, Type 2 Diabetes Mellitus, Metabolic Syn",Waist to Height Ratio (WHtR),Combined Liraglutide and Metformin Therapy in Women With Previous Gestational Diabetes Mellitus (GDM)
NCT01365481,150,True,False,1,"Valsartan, amlodipine, Hydrochlorothiazide","Hypertension, Chronic Kidney Disease","Number of Participants With MSSBP, MSDBP and (MSSBP and MSDBP Combined) < 95th Percentile for Gender, Age, and Height",Safety and Tolerability of Valsartan in Children 6 to 17 Years of Age
NCT04630626,145,True,False,1,"Simplify Disc, ACDF",Cervical Degenerative Disc Disorder,"Participants Average Disc Height, Parent IDE Study + Post Approval Study (PAS)",Post-Approval Study Protocol for the Simplify Cervical Artificial Disc
NCT00294684,141,True,False,1,"Corticosteroids, Placebo",Biliary Atresia,Height Z-Score,"A Randomized, Double-Blinded, Placebo-Controlled Trial of Corticosteroid Therapy Following Portoenterostomy"
NCT03325894,141,True,False,1,SHP465,Attention Deficit Hyperactivity Disorder (ADHD),Change From Baseline in Height at Final On-Treatment Assessment (FoTA),Safety and Tolerability Study of SHP465 in Children Aged 4 to 12 Years Diagnosed With Attention-deficit/Hypera
NCT01761084,141,False,False,1,Exercise and behaviour change strategies,"Osteoporotic Fractures, Spinal Fractures",Participant Height,Build Better Bones With Exercise
NCT04048616,141,False,False,1,"whey protein isolate, potassium bicarbonate (KHCO3), microcrystalline cellulose,","Age-Related Sarcopenia, Muscle Loss",Appendicular Lean Body Mass/Height Squared,Impact of Protein and Alkali Supplementation on Skeletal Muscle in Older Adults
NCT03660085,140,False,False,1,PC-PEP,Prostate Cancer,Height,Prostate Cancer - Patient Empowerment Program
NCT03689504,140,True,False,1,"Standard of care nutrition support, Home-based nutrition education, Home-based f","Malnutrition, Dietary Modification",Change in Height/Length for Age Z Score From Baseline to 6 Months,Evaluating a Family-based Nutrition and Garden Intervention in Rural Guatemala
NCT04175600,138,True,False,1,"Selexipag, Placebo, Standard of Care (SOC): Endothelin receptor antagonist, SOC:","Hypertension, Pulmonary",Double-blind Period: Change From Baseline in Growth Parameter: Height,A Study of Selexipag as Add-On Treatment to Standard of Care in Children With Pulmonary Arterial Hypertension
NCT03356977,137,True,False,1,Crisaborole ointment 2%,Atopic Dermatitis,Number of Participants With Clinically Significant Height Values Meeting Pre-defined Criteria,A Study of Crisaborole Ointment 2% in Children Aged 3-24 Months With Mild to Moderate Atopic Dermatitis
NCT00122980,134,True,False,1,"Red Cell Transfusions, Iron Chelation, Hydroxyurea, Phlebotomy","Hemochromatosis, Cerebrovascular Accident, Anemia, Sickle Cell, Hemato",Growth and Development - Height (Change From Baseline to Endpoint),Stroke With Transfusions Changing to Hydroxyurea
NCT01161524,133,True,False,1,"Perampanel, Placebo",Epilepsy,Mean Change From Baseline in Bone Age Minus Age (Months) From Hand X-ray (Extension Phase),"A Study With an Open-label Extension Phase to Evaluate the Effect of Perampanel (E2007) on Cognition, Growth, "
NCT01491854,130,True,False,1,Bloodsampling,Short Children Born Small for Gestational Age (SGA),to Evaluate Final Height,Long-term Safety Follow-up After Growth Hormone Treatment of Short Children Born Small for Gestational Age
NCT01617681,127,True,False,1,"VAL489, VAL489 matching placebo",Pediatric Hypertension With or Without CKD,"Patients Achieving <90th Percentile for Age, Gender and Height at Week 6 Endpoint in Both MSBP and MDBP","Efficacy, Safety and Tolerability of Multiple Doses of Valsartan in Children With Hypertension With or Without"
NCT04114539,124,True,False,1,Ecopipam,"Tourette Syndrome in Children, Tourette Syndrome in Adolescence",Change From Baseline in Vital Signs Parameter: Height,Ecopipam Tablets to Study Tourette Syndrome in Children and Adolescents - Open Label Extension
NCT00516139,122,False,False,1,Lamotrigine,Epilepsy,Change From Baseline in the Height at the Indicated Time Points in the Study,Lamotrigine Extended-Release In Elderly Patients With Epilepsy
NCT04779307,121,True,False,1,Vedolizumab,"Colitis, Ulcerative",Change From Baseline in Height,A Study of Vedolizumab in Children and Teenagers With Moderate to Severe Ulcerative Colitis (UC)
NCT02635386,119,False,False,1,"Exenatide once weekly (EQW ), Dapagliflozin (DAPA), EQW plus DAPA, Dapagliflozin","Polycystic Ovary Syndrome, Obesity",Waist-to-Height Ratio (WHtR),"EQW, DAPA, EQW/DAPA, DAPA/MET ER and PHEN/TPM ER in Obese Women With PolycysticOvary Syndrome (PCOS)"
NCT03141931,119,False,False,1,"Supplement, Placebo",Dry Eye,Tear Meniscus Height,The Effects of Dietary Supplementation With Omega-3 Fatty Acids on Symptoms of Dry Eye
NCT03659916,116,True,False,1,A4250 (odevixibat),Progressive Familial Intrahepatic Cholestasis,Change From Baseline in Height Z-Scores,Long Term Safety & Efficacy Study Evaluating The Effect of A4250 in Children With PFIC
NCT04831047,114,False,False,1,"Oxymetazoline hydrochloride 0.1% ophthalmic solution, Placebo","Ptosis, Eyelid, Conjunctiva Inflamed, Eye Manifestations",Change in Palpebral Fissure Height,"The Effect of Upneeq (Oxymetazoline Hydrochloride 0.1%) on Eyelid Position, Eye Redness, and Eye Appearance"
NCT03118570,112,False,False,1,"setrusumab, Calcium, Vitamin D, zoledronic acid (optional)","Osteogenesis Imperfecta, Type I, Osteogenesis Imperfecta Type III, Ost","Number of Participants With Clinically Significant Changes From Baseline in Body Height, Weight and Body Mass Index (BMI) at 6 and 12 Months: Full Analysis Set","A Study in Adult Patients With Type I, III or IV Osteogenesis Imperfecta Treated With BPS804"
NCT00456365,110,True,False,1,"pravastatin, Placebo","Polycystic Kidney, Autosomal Dominant",Percentage Change in Total Kidney Volume Corrected for Height,Effect of Statin Therapy on Disease Progression in Autosomal Dominant Polycystic Kidney Disease (ADPKD)
NCT02583360,109,True,False,1,Combined testing (diagnostic VFSS + research HRM) + Parent Preferred Therapy,"Dysphagia, Airway Aspiration, Airway Penetration",Weight Growth Velocity in Grams/Day,Mechanisms and Management of Infant Dysphagia
NCT02175758,106,True,False,1,"SOF, RBV",Hepatitis C Virus Infection,"For the Treatment Phase, Change From Baseline in Height",Safety and Efficacy of Sofosbuvir + Ribavirin in Adolescents and Children With Genotype 2 or 3 Chronic HCV Inf
NCT01544491,106,True,False,1,"RAD001, MMF",Prevention of Acute Rejection in Paediatric Recipients of a Renal Tran,"Growth/Development : Weight, Height, BMI : Change From Baseline","Efficacy, Tolerability and Safety of Early Introduction of Everolimus, Reduced Calcineurin Inhibitors and Earl"
NCT03720938,106,True,False,1,Active Video Games,"Self-Perception, Body Weight","BMI Calculated as ""Weight (kg) / Height (m^2)""",Effects of Active Video Games in Physically Inactive Children
NCT01375049,105,True,False,1,Aztreonam for Inhalation Solution (AZLI),Cystic Fibrosis,Change From Baseline in Height,Aztreonam Lysine for Pseudomonas Infection Eradication Study
NCT04806451,103,True,False,1,"Crinecerfont, Placebo",Congenital Adrenal Hyperplasia,Change From Baseline in the Ratio of Bone Age to Chronological Age (BA:CA) at Week 28,Global Safety and Efficacy Registration Study of Crinecerfont in Pediatric Participants With Classic Congenita
NCT05456529,103,True,False,1,Ruxolitinib Cream,Atopic Dermatitis (AD),Change From Baseline in Height at Weeks 8 and 52,Study of Ruxolitinib Cream in Adolescents With Atopic Dermatitis
NCT05286762,103,True,False,1,"CTx-1301-Dexmethylphenidate 12.5 mg (titration only), CTx-1301-Dexmethylphenidat","ADHD, Attention Deficit Hyperactivity Disorder, ADHD - Combined Type, ",Safety - Number of Subjects With Clinically Significant Changes in Height and Weight BMI That Resulted in an Adverse Event.,Phase 3 Efficacy and Safety Fixed-Dose Study in Pediatrics (6-17) With ADHD Using CTx-1301
NCT04394351,102,True,False,1,"Dupilumab, Matching Placebo",Eosinophilic Esophagitis (EoE),Part B: Change From Baseline in Body Weight From Height Z-score at Week 52,Study to Investigate the Efficacy and Safety of Dupilumab in Pediatric Patients With Active Eosinophilic Esoph
NCT00922194,102,False,False,1,Extended Release Metformin,"Obesity, Type 2 Diabetes Mellitus",Change in Waist (Cms) /Height (Meters) Ratio From Baseline at 12 Months or More,Metformin in Overweight Type 2 Diabetes Mellitus
NCT04555044,101,True,False,1,"Clinolipid, Intralipid",Essential Fatty Acid Deficiency (EFAD),Change in Length or Height (and Head Circumference for Infants <1 Year of Age) From Baseline,Pediatric Study to Evaluate Risk of Developing Essential Fatty Acid Deficiency When Receiving Clinolipid or St
NCT02959970,100,True,False,1,dapsone gel,Acne Vulgaris,Change From Baseline in Height,"Safety and Efficacy Trial of ACZONE (Dapsone) Gel, 7.5% in 9 to 11 Year-Old Patients With Acne Vulgaris"
NCT04587271,100,True,False,1,"Moringa oleifera (high dose), Moringa oleifera (low dose), Placebo","Malnutrition, Wasting, Growth Failure",Change in Infant Height,Nutritional Impact of Moringa Oleifera Leaf Supplementation in Mothers and Children
NCT05260021,99,True,False,1,"Tirzepatide Dose 1, Tirzepatide Dose 2, Placebo","Type2 Diabetes, Diabetes Mellitus, Diabetes Mellitus, Type 2, T2D, T2D",Change From Baseline in Height Standard Deviation Score (SDS),A Study to Evaluate Tirzepatide (LY3298176) in Pediatric and Adolescent Participants With Type 2 Diabetes Mell
NCT00838435,95,True,False,1,sapropterin dihydrochloride,Phenylketonuria,Change From Baseline in Growth Measurements - Height Z-Scores,"Effect of Kuvan on Neurocognitive Function, Blood Phenylalanine Level, Safety, and Pharmacokinetics in Childre"
NCT00761735,94,True,False,1,"Peginterferon alfa-2b, Ribavirin","Hepatitis C, Chronic",Mean Height Percentiles of Participants Over LTFU,5 Year Long-term Follow up in Pediatric Participants Who Received PegIntron Plus Rebetol in P02538 Part I (P02
NCT03509883,94,False,False,1,"Drug: Apixaban sprinkle capsules, Experimental: Apixaban tablets followed by api",Healthy Volunteers,Physical Measurement - Height,Bioavailability of Apixaban Sprinkle Compared to Apixaban Capsules
NCT02964273,91,True,False,1,"Tolvaptan, Tolvaptan Matching-placebo",Autosomal Dominant Polycystic Kidney Disease (ADPKD),Phase A: Percent Change From Phase A Baseline in Height-Adjusted Total Kidney Volume (htTKV) as Measured by Magnetic Resonance Imaging (MRI),"Safety, Pharmacokinetics, Tolerability and Efficacy of Tolvaptan in Children and Adolescents With ADPKD (Autos"
NCT01822574,90,False,False,1,"Cutting Guide Technique, Haptic Feedback Technique, Four Quadrant Technique","Arthroplasty, Replacement, Knee, Injuries, Knee",The Difference Between Surgeon Goal and Actual Resection Height,Comparison of Three Surgical Techniques to Achieve Patella Symmetry During Resection
NCT03480022,88,False,False,1,"Liraglutide Pen Injector [Saxenda], Placebo Liraglutide Pen Injector","Pre Diabetes, Polycystic Ovary Syndrome, Obesity Android",Waist-to Height Ratio [WHtR]),"Liraglutide 3mg (Saxenda) on Weight, Body Composition, Hormonal and Metabolic Parameters in Obese Women With P"
NCT04463069,86,True,False,1,Adapted physical activity,Obesity,Waist-to-height Ratio Change,School-based Physical Activity Intervention for Obesity Among Adolescents With Intellectual Disability in Hong
NCT01532921,85,False,False,1,"Tricuspid valve repair, Left-sided heart surgery, Contour 3D Tricuspid Annulopla",Tricuspid Valve Insufficiency,Change in the Degree of Tricuspid Valve (TV) Leaflet Tethering Height From Baseline Through 6 Months Post-implant,EASE TRICUSPID Expertise-based Assessment Study on Clinical Efficacy of Contour 3D® in TRICUSPID Valve Annulop
NCT00007020,85,True,False,1,Cholic Acids,"Infantile Refsum's Disease, Zellweger Syndrome, Adrenoleukodystrophy, ",Height and Weight,Compassionate Treatment of Patients With Inborn Errors of Bile Acid Metabolism With Cholic Acid
NCT04185363,84,True,False,1,Maralixibat,Progressive Familial Intrahepatic Cholestasis (PFIC),Change From Baseline in Height Z-score,An Extension Study of Maralixibat in Patients With Progressive Familial Intrahepatic Cholestasis (PFIC)
NCT01470469,83,True,False,1,"SPD503 (extended-release Guanfacine hydrochloride), Placebo","Generalized Anxiety Disorder (GAD), Anxiety, Separation, Phobia, Socia",Change From Baseline in Height at up to 12 Weeks,"SPD503 in Subjects Aged 6-17 Years With Generalized Anxiety Disorder (GAD), Separation Anxiety Disorder (SAD),"
NCT01010230,81,True,False,1,"LMHF mechanical stimulation active device, LMHF mechanical stimulation placebo d","Bone Mineral Density, Bone Strength",Percent Change in Total Bone Mineral Content (BMC) Per Height Compared Between Intervention and Placebo Groups,Vibration Intervention For Bone Enhancement In Childhood Cancer Survivors
NCT00349466,80,False,False,1,"CF101, Placebo",Keratoconjunctivitis Sicca,Change From Baseline to Week 12 in Tear Meniscus (TM) Height,Safety and Efficacy Study of CF101 to Treat Keratoconjunctivitis Sicca
NCT00265148,80,False,False,1,"Rosiglitazone, Placebo",Alzheimer's Disease,Number of Participants With Body Weight and Height Outside the Clinical Concern at Month 12,Brain Imaging Study Of Rosiglitazone Efficacy And Safety In Alzheimer's Disease
NCT02137538,79,True,True,1,"Letrozole, Anastrozole",Short Stature,Predicted Adult Height at Year 3,Aromatase Inhibitor Growth Study: Letrozole vs. Anastrozole
NCT05341115,79,True,False,1,Leuprorelin Acetate Depot 3M,Central Precocious Puberty,Percentage of Participants With Decreased Ratio of Bone Age Over Chronological Age at Week 24,A Study of Leuprolide Acetate Depot in Children With Central Precocious Puberty
NCT00241969,78,True,False,1,"Behavioral and Nutrition Treatment, Education and Attention Control","Cystic Fibrosis, Pancreatic Cystic Fibrosis",Change in Height for Age Z-Score (HAZ) From Baseline to Follow Up,Behavioral & Nutritional Treatment to Help CF Preschoolers Grow
NCT02386839,76,True,True,1,rhIGF-1/rhIGFBP-3,Retinopathy of Prematurity (ROP),Change From Baseline in Height Z-score,Long-term Safety and Efficacy Outcome Study Comparing Children Previously Enrolled in Study ROPP-2008-01 for t
NCT06016725,75,False,False,1,"Exercise Intervention, Informational Intervention, Nutritional Assessment, Physi","Anatomic Stage I Breast Cancer AJCC v8, Anatomic Stage II Breast Cance",Anthropometry Height in Inches,"Online Dietary and Resistance Training to Improve Physical Function in Older Cancer Survivors, E-PROOF Trial"
NCT01799720,71,False,False,1,"Less oxidized oil and diet, More oxidized oil and diet, Hypercholesterolemic die",Overweight,Height (Metre) of Volunteers at the Beginning (Day 1) and at the End of the Study (Day 30).,Oxidized Omega-3 Supplements With Different Oxidation
NCT00125788,70,True,False,1,"L-glutamine, Placebo","Sickle Cell Anemia, Thalassemia",Effect of Oral L--glutamine on Height,L-Glutamine Therapy for Sickle Cell Anemia and Sickle ß0 Thalassemia
NCT02338193,69,False,False,1,"DAPA/MET XR, DAPA, MET XR",Diabetes Prevention in Women After GDM Who Are at High-risk,Waist-to-height Ratio (WHtR),"Dapagliflozin and Metformin,Alone and in Combination, in Overweight/Obese Prior GDM Women"
NCT01559363,69,False,False,1,Tesevatinib,"Polycystic Kidney, Autosomal Dominant","Phase 2a: Annualized Percent Change From Baseline in Height Adjusted Total Kidney Volume (htTKV) at Month 6, 12, 18, 24 and End of Study","A Safety, Pharmacokinetic & Dose-Escalation Study of KD019 in Subjects With Autosomal Dominant Polycystic Kidn"
NCT01176266,69,True,False,1,asfotase alfa,Hypophosphatasia,Effect of Asfotase Alfa Treatment on Physical Growth - Length/Height Z-scores Change From Baseline to Last Obtained Value,Open-Label Study of Asfotase Alfa in Infants and Children ≤ 5 Years of Age With Hypophosphatasia (HPP)
NCT00837694,65,False,False,1,,Obesity,Height,Snack Food Reinforcement in Obese and Non-obese Women
NCT02637141,64,False,False,1,"AMG 714, Placebo, Placebo Gluten Challenge, Gluten Challenge",Celiac Disease,Percent Change From Baseline in Villous Height to Crypt Depth Ratio (VH:CD) at Week 12,A Study to Evaluate the Efficacy and Safety of AMG 714 in Adult Patients With Celiac Disease
NCT02074631,63,True,False,1,"Pamidronate, Calcium and vitamin D","Osteopenia, Osteoporosis","Total Body Bone Mineral Content (TBMC; Excluding Head; Adjusted for Height, Age, Sex, Tanner Stage, and Race)",Prevention of Bone Loss After Pediatric Hematopoietic Cell Transplantation
NCT01696279,63,True,False,1,"Lanthanum Carbonate, Calcium Carbonate","Chronic Kidney Disease, Hyperphosphatemia",Change From Baseline in Height,"A Study to Assess the Pharmacokinetics of Lanthanum Carbonate, Investigate and Compare the Efficacy, Safety an"
NCT03492177,63,True,False,1,selexipag (Uptravi),Pulmonary Arterial Hypertension,Change From Baseline Over Time in Height up to EOT+3 Days,A Clinical Study of to Confirm the Doses of Selexipag in Children With Pulmonary Arterial Hypertension
