nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,placebo,cm,Change in Height Standard Deviation Score (SDS) After 1 Year,,False,True,True,Somatropin,1.099,0.0714,18,Control Arm,0.108,15,0.991,,
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,placebo,cm,Change From Baseline in Height After 1 Year and After 2 Years,Month 12,False,True,True,Somatropin,10.467,0.2439,18,Control Arm,5.927,15,4.54,,
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,placebo,cm,Change From Baseline in Height After 1 Year and After 2 Years,Month 24,False,True,True,Somatropin,18.908,0.6507,18,Control Arm,14.844,15,4.064,,
NCT00174460,"Growth Hormone Therapy ; Infant, Very Low Birth Weight",Somatropin Therapy In Children Born Preterm But Appropriate For Gestational Age,Somatropin ; Control Arm,placebo,cm,Change From Baseline in Height SDS After 2 Years,,False,True,True,Somatropin,1.71,0.1075,18,Control Arm,0.991,15,0.719,,
NCT01947907,Growth Hormone Deficiency (GHD),"Safety, PK/PD (Pharmacokinetics/Pharmacodynamics) and Efficacy of ACP-001 Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",ACP-001 ; Human Growth Hormone,active-comparator,cm/yr,Annualized Height Velocity,,True,True,True,"ACP-001, Dose-level 1",11.93,4.066,12,Human Growth Hormone,11.64,13,0.29,,
NCT01947907,Growth Hormone Deficiency (GHD),"Safety, PK/PD (Pharmacokinetics/Pharmacodynamics) and Efficacy of ACP-001 Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",ACP-001 ; Human Growth Hormone,active-comparator,cm/yr,Annualized Height Velocity,,True,True,True,"ACP-001, Dose-level 2",12.89,3.464,14,Human Growth Hormone,11.64,13,1.25,,
NCT01947907,Growth Hormone Deficiency (GHD),"Safety, PK/PD (Pharmacokinetics/Pharmacodynamics) and Efficacy of ACP-001 Weekly Versus Daily hGH in Children With Growth Hormone Deficiency (GHD)",ACP-001 ; Human Growth Hormone,active-comparator,cm/yr,Annualized Height Velocity,,True,True,True,"ACP-001, Dose-level 3",13.85,4.009,14,Human Growth Hormone,11.64,13,2.21,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"1 year (n=57, 55, 59)",True,False,False,Genotonorm 0.7 (Continuous Treatment),8.21,1.38,58,Genotonorm 1.4 (Intermittent Treatment),7.33,60,0.88,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"1 year (n=57, 55, 59)",True,False,False,Genotonorm 1.4 (Continuous Treatment),9.21,1.45,56,Genotonorm 1.4 (Intermittent Treatment),7.33,60,1.88,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"2 years (n=53, 49, 56)",True,False,False,Genotonorm 0.7 (Continuous Treatment),14.77,2.45,58,Genotonorm 1.4 (Intermittent Treatment),13.92,60,0.85,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"2 years (n=53, 49, 56)",True,False,False,Genotonorm 1.4 (Continuous Treatment),17.01,2.21,56,Genotonorm 1.4 (Intermittent Treatment),13.92,60,3.09,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"3 years (n=39, 34, 41)",True,False,False,Genotonorm 0.7 (Continuous Treatment),20.62,3.0,58,Genotonorm 1.4 (Intermittent Treatment),20.14,60,0.48,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"3 years (n=39, 34, 41)",True,False,False,Genotonorm 1.4 (Continuous Treatment),24.49,3.04,56,Genotonorm 1.4 (Intermittent Treatment),20.14,60,4.35,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"4 years (n=21, 18, 27)",True,False,False,Genotonorm 0.7 (Continuous Treatment),26.36,4.37,58,Genotonorm 1.4 (Intermittent Treatment),25.83,60,0.53,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"4 years (n=21, 18, 27)",True,False,False,Genotonorm 1.4 (Continuous Treatment),30.77,3.43,56,Genotonorm 1.4 (Intermittent Treatment),25.83,60,4.94,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"5 years (n=12, 10, 21)",True,False,False,Genotonorm 0.7 (Continuous Treatment),32.23,5.92,58,Genotonorm 1.4 (Intermittent Treatment),32.16,60,0.07,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"5 years (n=12, 10, 21)",True,False,False,Genotonorm 1.4 (Continuous Treatment),35.7,4.27,56,Genotonorm 1.4 (Intermittent Treatment),32.16,60,3.54,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"6 years (n=11, 7, 20)",True,False,False,Genotonorm 0.7 (Continuous Treatment),38.2,6.66,58,Genotonorm 1.4 (Intermittent Treatment),38.01,60,0.19,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"6 years (n=11, 7, 20)",True,False,False,Genotonorm 1.4 (Continuous Treatment),44.03,3.09,56,Genotonorm 1.4 (Intermittent Treatment),38.01,60,6.02,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"Final height (n=17, 12, 22)",True,False,False,Genotonorm 0.7 (Continuous Treatment),45.39,13.08,58,Genotonorm 1.4 (Intermittent Treatment),40.93,60,4.46,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,cm,Change From Baseline in Height (cm),"Final height (n=17, 12, 22)",True,False,False,Genotonorm 1.4 (Continuous Treatment),45.3,13.72,56,Genotonorm 1.4 (Intermittent Treatment),40.93,60,4.37,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"1 year (n=57, 55, 59)",True,False,False,Genotonorm 0.7 (Continuous Treatment),0.67,0.28,58,Genotonorm 1.4 (Intermittent Treatment),0.53,60,0.14,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"1 year (n=57, 55, 59)",True,False,False,Genotonorm 1.4 (Continuous Treatment),0.88,0.3,56,Genotonorm 1.4 (Intermittent Treatment),0.53,60,0.35,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"2 years (n=53, 49, 56)",True,False,False,Genotonorm 0.7 (Continuous Treatment),0.94,0.45,58,Genotonorm 1.4 (Intermittent Treatment),0.84,60,0.1,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"2 years (n=53, 49, 56)",True,False,False,Genotonorm 1.4 (Continuous Treatment),1.4,0.43,56,Genotonorm 1.4 (Intermittent Treatment),0.84,60,0.56,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"3 years (n=39, 34, 41)",True,False,False,Genotonorm 0.7 (Continuous Treatment),1.06,0.54,58,Genotonorm 1.4 (Intermittent Treatment),0.99,60,0.07,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"3 years (n=39, 34, 41)",True,False,False,Genotonorm 1.4 (Continuous Treatment),1.7,0.54,56,Genotonorm 1.4 (Intermittent Treatment),0.99,60,0.71,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"4 years (n=21, 18, 27)",True,False,False,Genotonorm 1.4 (Continuous Treatment),1.98,0.69,56,Genotonorm 0.7 (Continuous Treatment),1.2,58,0.78,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"4 years (n=21, 18, 27)",True,False,False,Genotonorm 1.4 (Intermittent Treatment),1.21,0.54,60,Genotonorm 0.7 (Continuous Treatment),1.2,58,0.01,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"5 years (n=12, 10, 21)",True,False,False,Genotonorm 1.4 (Continuous Treatment),2.03,0.87,56,Genotonorm 0.7 (Continuous Treatment),1.37,58,0.66,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"5 years (n=12, 10, 21)",True,False,False,Genotonorm 1.4 (Intermittent Treatment),1.46,0.69,60,Genotonorm 0.7 (Continuous Treatment),1.37,58,0.09,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"6 years (n=11, 7, 19)",True,False,False,Genotonorm 1.4 (Continuous Treatment),2.6,0.66,56,Genotonorm 0.7 (Continuous Treatment),1.54,58,1.06,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"6 years (n=11, 7, 19)",True,False,False,Genotonorm 1.4 (Intermittent Treatment),1.54,0.86,60,Genotonorm 0.7 (Continuous Treatment),1.54,58,0.0,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"Final height (n=14, 9, 18)",True,False,False,Genotonorm 0.7 (Continuous Treatment),1.0,0.53,58,Genotonorm 1.4 (Intermittent Treatment),0.86,60,0.14,,
NCT01073605,Growth Disorders ; Intrauterine Growth Retardation,Genotropin Treatment in Short Prepubertal Children With Intra-Uterine Growth Retardation,Genotonorm ; Genotonorm ; Genotonorm,active-comparator,Z,Change From Baseline in Height (SDS),"Final height (n=14, 9, 18)",True,False,False,Genotonorm 1.4 (Continuous Treatment),0.97,0.95,56,Genotonorm 1.4 (Intermittent Treatment),0.86,60,0.11,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 2,False,False,True,AVXS-101,0.0,0.0,14,Nusinersen,0.0,76,0.0,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 4,False,False,True,Nusinersen,1.0,1.41,76,AVXS-101,0.33,14,0.67,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 13,False,False,True,Nusinersen,1.08,4.1,76,RO6885247,-0.2,13,1.28,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 13,False,False,True,Olesoxime,1.23,5.09,70,RO6885247,-0.2,13,1.43,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 13,False,False,True,AVXS-101,2.78,2.14,14,RO6885247,-0.2,13,2.98,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 17,False,False,True,RO6885247,-0.84,3.56,13,Nusinersen,-10.99,76,10.15,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 26,False,False,True,Nusinersen,6.5,6.36,76,AVXS-101,0.0,14,6.5,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 35,False,False,True,Nusinersen,2.92,3.38,76,RO6885247,-0.4,13,3.32,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 35,False,False,True,Olesoxime,0.05,1.25,70,RO6885247,-0.4,13,0.45,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 39,False,False,True,Nusinersen,4.81,4.13,76,AVXS-101,2.41,14,2.4,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 39,False,False,True,Olesoxime,6.18,9.33,70,AVXS-101,2.41,14,3.77,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 43,False,False,True,Nusinersen,11.41,7.59,76,Olesoxime,3.55,70,7.86,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 43,False,False,True,AVXS-101,7.0,,14,Olesoxime,3.55,70,3.45,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 52,False,False,True,Nusinersen,6.14,5.31,76,RO6885247,-0.38,13,6.52,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 52,False,False,True,Olesoxime,2.36,5.66,70,RO6885247,-0.38,13,2.74,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 52,False,False,True,AVXS-101,6.83,3.01,14,RO6885247,-0.38,13,7.21,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 61,False,False,True,Nusinersen,11.41,9.06,76,RO6885247,0.0,13,11.41,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 61,False,False,True,Olesoxime,4.61,6.33,70,RO6885247,0.0,13,4.61,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 65,False,False,True,Nusinersen,9.8,6.91,76,Olesoxime,0.88,70,8.92,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 65,False,False,True,AVXS-101,8.0,1.73,14,Olesoxime,0.88,70,7.12,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 78,False,False,True,Nusinersen,9.92,6.32,76,RO6885247,-0.71,13,10.63,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 78,False,False,True,Olesoxime,3.9,6.8,70,RO6885247,-0.71,13,4.61,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 78,False,False,True,AVXS-101,9.09,4.04,14,RO6885247,-0.71,13,9.8,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 87,False,False,True,AVXS-101,5.78,,14,Olesoxime,4.77,70,1.01,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 91,False,False,True,Nusinersen,17.0,7.07,76,AVXS-101,10.0,14,7.0,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 104,False,False,True,Nusinersen,11.33,7.14,76,RO6885247,-0.87,13,12.2,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 104,False,False,True,Olesoxime,5.14,7.33,70,RO6885247,-0.87,13,6.01,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 104,False,False,True,AVXS-101,14.54,3.95,14,RO6885247,-0.87,13,15.41,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 117,False,False,True,Nusinersen,9.2,6.11,76,Olesoxime,4.86,70,4.34,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 130,False,False,True,Nusinersen,12.15,8.73,76,RO6885247,-1.6,13,13.75,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 130,False,False,True,Olesoxime,4.7,7.8,70,RO6885247,-1.6,13,6.3,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 130,False,False,True,AVXS-101,16.11,5.48,14,RO6885247,-1.6,13,17.71,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 143,False,False,True,Nusinersen,5.91,6.39,76,RO6885247,0.0,13,5.91,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 143,False,False,True,Olesoxime,5.0,,70,RO6885247,0.0,13,5.0,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 156,False,False,True,Nusinersen,12.9,10.31,76,RO6885247,-0.2,13,13.1,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 156,False,False,True,Olesoxime,4.43,6.8,70,RO6885247,-0.2,13,4.63,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 156,False,False,True,AVXS-101,22.02,4.97,14,RO6885247,-0.2,13,22.22,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 169,False,False,True,Nusinersen,13.46,12.09,76,Olesoxime,0.0,70,13.46,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 182,False,False,True,Nusinersen,15.36,11.34,76,RO6885247,-2.25,13,17.61,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 182,False,False,True,Olesoxime,4.67,6.31,70,RO6885247,-2.25,13,6.92,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 182,False,False,True,AVXS-101,21.54,2.76,14,RO6885247,-2.25,13,23.79,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 208,False,False,True,Nusinersen,16.13,11.69,76,RO6885247,-2.28,13,18.41,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 208,False,False,True,Olesoxime,4.91,8.6,70,RO6885247,-2.28,13,7.19,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 208,False,False,True,AVXS-101,26.17,6.55,14,RO6885247,-2.28,13,28.45,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 221,False,False,True,Olesoxime,9.77,,70,RO6885247,0.0,13,9.77,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 234,False,False,True,Nusinersen,17.18,13.14,76,RO6885247,-1.04,13,18.22,,
NCT03032172,Spinal Muscular Atrophy,A Study of Risdiplam (RO7034067) in Adult and Pediatric Participants With Spinal Muscular Atrophy,Risdiplam,active-comparator,cm,Anthropometric Examination: Change From Baseline in Height,Week 234,False,False,True,Olesoxime,4.95,7.88,70,RO6885247,-1.04,13,5.99,,
